character_id,character_name,character_status,character_species,episode_name,episode_code,episode_air_date,dimension
1,Rick Sanchez,Alive,Human,Pilot,S01E01,"December 2, 2013",Dimension C-137
1,Rick Sanchez,Alive,Human,Lawnmower Dog,S01E02,"December 9, 2013",Dimension C-137
1,Rick Sanchez,Alive,Human,Anatomy Park,S01E03,"December 16, 2013",Dimension C-137
1,Rick Sanchez,Alive,Human,M. Night Shaym-Aliens!,S01E04,"January 13, 2014",Dimension C-137
1,Rick Sanchez,Alive,Human,Meeseeks and Destroy,S01E05,"January 20, 2014",Dimension C-137
1,Rick Sanchez,Alive,Human,Rick Potion #9,S01E06,"January 27, 2014",Dimension C-137
1,Rick Sanchez,Alive,Human,Raising Gazorpazorp,S01E07,"March 10, 2014",Dimension C-137
1,Rick Sanchez,Alive,Human,Rixty Minutes,S01E08,"March 17, 2014",Dimension C-137
1,Rick Sanchez,Alive,Human,Something Ricked This Way Comes,S01E09,"March 24, 2014",Dimension C-137
1,Rick Sanchez,Alive,Human,Close Rick-counters of the Rick Kind,S01E10,"April 7, 2014",Dimension C-137
1,Rick Sanchez,Alive,Human,Ricksy Business,S01E11,"April 14, 2014",Dimension C-137
1,Rick Sanchez,Alive,Human,A Rickle in Time,S02E01,"July 26, 2015",Dimension C-137
1,Rick Sanchez,Alive,Human,Mortynight Run,S02E02,"August 2, 2015",Dimension C-137
1,Rick Sanchez,Alive,Human,Auto Erotic Assimilation,S02E03,"August 9, 2015",Dimension C-137
1,Rick Sanchez,Alive,Human,Total Rickall,S02E04,"August 16, 2015",Dimension C-137
1,Rick Sanchez,Alive,Human,Get Schwifty,S02E05,"August 23, 2015",Dimension C-137
1,Rick Sanchez,Alive,Human,The Ricks Must Be Crazy,S02E06,"August 30, 2015",Dimension C-137
1,Rick Sanchez,Alive,Human,Big Trouble in Little Sanchez,S02E07,"September 13, 2015",Dimension C-137
1,Rick Sanchez,Alive,Human,Interdimensional Cable 2: Tempting Fate,S02E08,"September 20, 2015",Dimension C-137
1,Rick Sanchez,Alive,Human,Look Who's Purging Now,S02E09,"September 27, 2015",Dimension C-137
1,Rick Sanchez,Alive,Human,The Wedding Squanchers,S02E10,"October 4, 2015",Dimension C-137
1,Rick Sanchez,Alive,Human,The Rickshank Rickdemption,S03E01,"April 1, 2017",Dimension C-137
1,Rick Sanchez,Alive,Human,Rickmancing the Stone,S03E02,"July 30, 2017",Dimension C-137
1,Rick Sanchez,Alive,Human,Pickle Rick,S03E03,"August 6, 2017",Dimension C-137
1,Rick Sanchez,Alive,Human,Vindicators 3: The Return of Worldender,S03E04,"August 13, 2017",Dimension C-137
